# Time in seconds to go from n 32k-length random genomes to a lower-triangular distances matrix file
# CPU: 52 core Xeon: from-fasta / dump-lower-triangular
# GPU: A100: from-fasta / dump-lower-triangular
# GPU-stream: A100: from-fasta-to-lower-triangular (interleaves I/O and computation)
# n    CPU        GPU                  GPU-stream
2000   0.653878   0.5127140621189028   0.13557552301790565
3000   0.964759   0.7554650978418067   0.23105294106062502
5000   1.63097    1.3445364689687267   0.46112991601694375
10000  3.88273    3.1115588791435584   1.34703719697427
20000  10.779     7.625964550068602    4.461474176961929
30000  20.7542    13.989239579997957   9.265670311986469
50000  59.7482    32.871332183945924   20.969019818934612
100000 185.941    107.00290298496839   81.37370045098942
200000 735.223    361.97915480996016   271.80367124499753
300000 1575.75    780.524687159108     610.4017879960593
